model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
patchtst_small,MED,SAU,adapt,head_finetune,1.68643057346344,351,60000,2.6799826999922516,30000,8.005214000004344
patchtst_small,MED,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,8.005214000004344
patchtst_small,EAU,SAU,deploy,deploy,1.6783808469772339,351,60000,0.0,0,7.870186400003149
patchtst_small,EAU,SAU,adapt,head_finetune,1.6778053045272827,351,60000,2.583918899996206,30000,7.870186400003149
patchtst_small,EAU,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.870186400003149
patchtst_small,NWN,SAU,deploy,deploy,1.6800763607025146,351,60000,0.0,0,7.93835319999198
patchtst_small,NWN,SAU,adapt,head_finetune,1.6736111640930176,351,60000,2.6098389000108,30000,7.93835319999198
patchtst_small,NWN,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.93835319999198
patchtst_small,NCA,SAU,deploy,deploy,1.7106460332870483,351,60000,0.0,0,7.852840200008359
patchtst_small,NCA,SAU,adapt,head_finetune,1.69734525680542,351,60000,2.7052609999955166,30000,7.852840200008359
patchtst_small,NCA,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.852840200008359
patchtst_small,EAS,SAU,deploy,deploy,1.686031460762024,351,60000,0.0,0,7.655908800006728
patchtst_small,EAS,SAU,adapt,head_finetune,1.6798558235168457,351,60000,2.632529499998782,30000,7.655908800006728
patchtst_small,EAS,SAU,retrain,retrain,1.6734929084777832,351,60000,7.689114699998754,90000,7.655908800006728
patchtst_small,NEU,MED,deploy,deploy,1.761238694190979,328,60000,0.0,0,8.433484199995291
patchtst_small,NEU,MED,adapt,head_finetune,1.7429548501968384,328,60000,2.4944813000038266,30000,8.433484199995291
patchtst_small,NEU,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,8.433484199995291
patchtst_small,WCE,MED,deploy,deploy,1.7477092742919922,328,60000,0.0,0,7.73345369999879
patchtst_small,WCE,MED,adapt,head_finetune,1.7448793649673462,328,60000,2.5602818000043044,30000,7.73345369999879
patchtst_small,WCE,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.73345369999879
patchtst_small,WNA,MED,deploy,deploy,1.7415510416030884,328,60000,0.0,0,7.678654000003007
patchtst_small,WNA,MED,adapt,head_finetune,1.7391947507858276,328,60000,2.625453299988294,30000,7.678654000003007
patchtst_small,WNA,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.678654000003007
patchtst_small,ENA,MED,deploy,deploy,1.748085618019104,328,60000,0.0,0,7.806862600002205
patchtst_small,ENA,MED,adapt,head_finetune,1.746993064880371,328,60000,2.490597500000149,30000,7.806862600002205
patchtst_small,ENA,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.806862600002205
patchtst_small,CNA,MED,deploy,deploy,1.7558232545852661,328,60000,0.0,0,7.69364769999811
patchtst_small,CNA,MED,adapt,head_finetune,1.7496546506881714,328,60000,2.4692325000069104,30000,7.69364769999811
patchtst_small,CNA,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.69364769999811
patchtst_small,SAU,MED,deploy,deploy,1.7343266010284424,328,60000,0.0,0,7.689114699998754
patchtst_small,SAU,MED,adapt,head_finetune,1.7358696460723877,328,60000,2.599197699993965,30000,7.689114699998754
patchtst_small,SAU,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.689114699998754
patchtst_small,EAU,MED,deploy,deploy,1.7343329191207886,328,60000,0.0,0,7.870186400003149
patchtst_small,EAU,MED,adapt,head_finetune,1.7374264001846313,328,60000,2.6091327000031015,30000,7.870186400003149
patchtst_small,EAU,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.870186400003149
patchtst_small,NWN,MED,deploy,deploy,1.7392373085021973,328,60000,0.0,0,7.93835319999198
patchtst_small,NWN,MED,adapt,head_finetune,1.7343776226043701,328,60000,2.615373399996315,30000,7.93835319999198
patchtst_small,NWN,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.93835319999198
patchtst_small,NCA,MED,deploy,deploy,1.7567358016967773,328,60000,0.0,0,7.852840200008359
patchtst_small,NCA,MED,adapt,head_finetune,1.7502520084381104,328,60000,2.527285699994536,30000,7.852840200008359
patchtst_small,NCA,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.852840200008359
patchtst_small,EAS,MED,deploy,deploy,1.7422120571136475,328,60000,0.0,0,7.655908800006728
patchtst_small,EAS,MED,adapt,head_finetune,1.7367125749588013,328,60000,2.583860700004152,30000,7.655908800006728
patchtst_small,EAS,MED,retrain,retrain,1.7459125518798828,328,60000,8.005214000004344,90000,7.655908800006728
patchtst_small,NEU,EAU,deploy,deploy,2.441344738006592,241,60000,0.0,0,8.433484199995291
patchtst_small,NEU,EAU,adapt,head_finetune,2.4113576412200928,241,60000,2.502669399997103,30000,8.433484199995291
patchtst_small,NEU,EAU,retrain,retrain,2.403032064437866,241,60000,7.870186400003149,90000,8.433484199995291
patchtst_small,WCE,EAU,deploy,deploy,2.425205707550049,241,60000,0.0,0,7.73345369999879
patchtst_small,WCE,EAU,adapt,head_finetune,2.4193873405456543,241,60000,2.5397349999984726,30000,7.73345369999879
patchtst_small,WCE,EAU,retrain,retrain,2.403032064437866,241,60000,7.870186400003149,90000,7.73345369999879
patchtst_small,WNA,EAU,deploy,deploy,2.413087844848633,241,60000,0.0,0,7.678654000003007
patchtst_small,WNA,EAU,adapt,head_finetune,2.404250383377075,241,60000,2.558783999993466,30000,7.678654000003007
patchtst_small,WNA,EAU,retrain,retrain,2.403032064437866,241,60000,7.870186400003149,90000,7.678654000003007
