model,source_region,target_region,action,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,adapt_intercept_log1p,adapt_slope_log1p,source_training_seconds_sunk
spatial_knn_ridge,CNA,ESB,deploy,1.3799966497298999,39,34528,0.0,0,,,0.3233532999875024
spatial_knn_ridge,CNA,ESB,adapt,1.3813343537159455,39,34528,0.0013545999972848222,42659,0.03976348042488098,0.9070094227790833,0.3233532999875024
spatial_knn_ridge,CNA,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.3233532999875024
spatial_knn_ridge,CNA,RFE,deploy,1.7755226251241323,37,32342,0.0,0,,,0.3233532999875024
spatial_knn_ridge,CNA,RFE,adapt,1.8000413308272492,37,32342,0.0012744999985443428,40382,0.0005238950252532959,1.0894839763641357,0.3233532999875024
spatial_knn_ridge,CNA,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.3233532999875024
spatial_knn_ridge,SAU,CAU,deploy,0.9848064577233964,69,71830,0.0,0,,,0.28952079999726266
spatial_knn_ridge,SAU,CAU,adapt,0.8028885845256888,69,71830,0.0015546000067843124,60000,-0.16660694777965546,0.9698823094367981,0.28952079999726266
spatial_knn_ridge,SAU,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.28952079999726266
spatial_knn_ridge,SAU,NAU,deploy,3.243516416385256,58,59757,0.0,0,,,0.28952079999726266
spatial_knn_ridge,SAU,NAU,adapt,3.1057728652296395,58,59757,0.0017331999988527969,60000,-0.37710320949554443,1.7951126098632812,0.28952079999726266
spatial_knn_ridge,SAU,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.28952079999726266
spatial_knn_ridge,SAU,NEN,deploy,1.449340072332644,51,52262,0.0,0,,,0.28952079999726266
spatial_knn_ridge,SAU,NEN,adapt,1.4374805384991216,51,52262,0.0018041000002995133,53448,-0.016355544328689575,1.002090334892273,0.28952079999726266
spatial_knn_ridge,SAU,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.28952079999726266
spatial_knn_ridge,SAU,ESB,deploy,1.38226210918182,39,34528,0.0,0,,,0.28952079999726266
spatial_knn_ridge,SAU,ESB,adapt,1.362066958195124,39,34528,0.0014133000076981261,42659,-0.08901238441467285,1.1321803331375122,0.28952079999726266
spatial_knn_ridge,SAU,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.28952079999726266
spatial_knn_ridge,SAU,RFE,deploy,1.7718500204988428,37,32342,0.0,0,,,0.28952079999726266
spatial_knn_ridge,SAU,RFE,adapt,1.7663568725457062,37,32342,0.0013431999977910891,40382,-0.1478237807750702,1.3337018489837646,0.28952079999726266
spatial_knn_ridge,SAU,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.28952079999726266
spatial_knn_ridge,MED,CAU,deploy,0.9254970312982366,69,71830,0.0,0,,,0.2954827000066871
spatial_knn_ridge,MED,CAU,adapt,0.801286225301632,69,71830,0.0017315000004600734,60000,-0.07107999920845032,0.8072257041931152,0.2954827000066871
spatial_knn_ridge,MED,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.2954827000066871
spatial_knn_ridge,MED,NAU,deploy,3.1871048150391412,58,59757,0.0,0,,,0.2954827000066871
spatial_knn_ridge,MED,NAU,adapt,3.110613457087813,58,59757,0.0016277999966405332,60000,-0.20340090990066528,1.5240287780761719,0.2954827000066871
spatial_knn_ridge,MED,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.2954827000066871
spatial_knn_ridge,MED,NEN,deploy,1.4224854801215379,51,52262,0.0,0,,,0.2954827000066871
spatial_knn_ridge,MED,NEN,adapt,1.4382673350034976,51,52262,0.0015329000016208738,53448,0.08806774020195007,0.8230413794517517,0.2954827000066871
spatial_knn_ridge,MED,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.2954827000066871
spatial_knn_ridge,MED,ESB,deploy,1.3607492997096136,39,34528,0.0,0,,,0.2954827000066871
spatial_knn_ridge,MED,ESB,adapt,1.360489888068957,39,34528,0.0013159000081941485,42659,0.03290921449661255,0.9144300222396851,0.2954827000066871
spatial_knn_ridge,MED,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.2954827000066871
spatial_knn_ridge,MED,RFE,deploy,1.7462267215187486,37,32342,0.0,0,,,0.2954827000066871
spatial_knn_ridge,MED,RFE,adapt,1.7627938566981136,37,32342,0.0012495999981183559,40382,-0.013539522886276245,1.1046812534332275,0.2954827000066871
spatial_knn_ridge,MED,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.2954827000066871
spatial_knn_ridge,EAU,CAU,deploy,0.9729538503764332,69,71830,0.0,0,,,0.252197800000431
spatial_knn_ridge,EAU,CAU,adapt,0.8028063458808954,69,71830,0.0016858000017236918,60000,-0.12301322817802429,0.8659470081329346,0.252197800000431
spatial_knn_ridge,EAU,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.252197800000431
spatial_knn_ridge,EAU,NAU,deploy,3.2226099515783377,58,59757,0.0,0,,,0.252197800000431
spatial_knn_ridge,EAU,NAU,adapt,3.1032946767478156,58,59757,0.0020692000107374042,60000,-0.2907981872558594,1.5773764848709106,0.252197800000431
spatial_knn_ridge,EAU,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.252197800000431
spatial_knn_ridge,EAU,NEN,deploy,1.4486287458270204,51,52262,0.0,0,,,0.252197800000431
spatial_knn_ridge,EAU,NEN,adapt,1.4376648255423004,51,52262,0.0016018000023905188,53448,0.028321534395217896,0.8954182863235474,0.252197800000431
spatial_knn_ridge,EAU,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.252197800000431
spatial_knn_ridge,EAU,ESB,deploy,1.3833248920929737,39,34528,0.0,0,,,0.252197800000431
spatial_knn_ridge,EAU,ESB,adapt,1.3648039958415887,39,34528,0.0012667000119108707,42659,-0.041932255029678345,1.0243263244628906,0.252197800000431
spatial_knn_ridge,EAU,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.252197800000431
spatial_knn_ridge,EAU,RFE,deploy,1.7741557681882703,37,32342,0.0,0,,,0.252197800000431
spatial_knn_ridge,EAU,RFE,adapt,1.771791654664117,37,32342,0.0013408999948296696,40382,-0.08238890767097473,1.1808923482894897,0.252197800000431
spatial_knn_ridge,EAU,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.252197800000431
spatial_knn_ridge,NWN,CAU,deploy,0.9779825547467107,69,71830,0.0,0,,,0.23014700000931043
spatial_knn_ridge,NWN,CAU,adapt,0.8020488816326943,69,71830,0.0014895000058459118,60000,-0.02379433810710907,0.5728670954704285,0.23014700000931043
spatial_knn_ridge,NWN,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.23014700000931043
spatial_knn_ridge,NWN,NAU,deploy,3.179849986372323,58,59757,0.0,0,,,0.23014700000931043
spatial_knn_ridge,NWN,NAU,adapt,3.108176280712259,58,59757,0.0016216999938478693,60000,-0.09813809394836426,1.0415165424346924,0.23014700000931043
spatial_knn_ridge,NWN,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.23014700000931043
spatial_knn_ridge,NWN,NEN,deploy,1.483848396469565,51,52262,0.0,0,,,0.23014700000931043
spatial_knn_ridge,NWN,NEN,adapt,1.4377459790192397,51,52262,0.0015697000053478405,53448,0.13321438431739807,0.6128901243209839,0.23014700000931043
spatial_knn_ridge,NWN,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.23014700000931043
spatial_knn_ridge,NWN,ESB,deploy,1.407374421755473,39,34528,0.0,0,,,0.23014700000931043
spatial_knn_ridge,NWN,ESB,adapt,1.363331166597513,39,34528,0.0015370999899460003,42659,0.07582157850265503,0.7052371501922607,0.23014700000931043
spatial_knn_ridge,NWN,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.23014700000931043
spatial_knn_ridge,NWN,RFE,deploy,1.7999965467968502,37,32342,0.0,0,,,0.23014700000931043
spatial_knn_ridge,NWN,RFE,adapt,1.767746991402394,37,32342,0.0013171000027796254,40382,0.05053526163101196,0.8184925317764282,0.23014700000931043
spatial_knn_ridge,NWN,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.23014700000931043
spatial_knn_ridge,NCA,CAU,deploy,0.8290311944657478,69,71830,0.0,0,,,0.20979809999698773
spatial_knn_ridge,NCA,CAU,adapt,0.8015345019706781,69,71830,0.0016663999995216727,60000,0.02223101258277893,0.7197805643081665,0.20979809999698773
spatial_knn_ridge,NCA,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.20979809999698773
spatial_knn_ridge,NCA,NAU,deploy,3.1119118291756203,58,59757,0.0,0,,,0.20979809999698773
spatial_knn_ridge,NCA,NAU,adapt,3.1143957170946845,58,59757,0.0016500000056112185,60000,-0.03169095516204834,1.3625783920288086,0.20979809999698773
spatial_knn_ridge,NCA,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.20979809999698773
spatial_knn_ridge,NCA,NEN,deploy,1.371461102775499,51,52262,0.0,0,,,0.20979809999698773
spatial_knn_ridge,NCA,NEN,adapt,1.441657333981757,51,52262,0.001603499986231327,53448,0.1848684400320053,0.7284624576568604,0.20979809999698773
