target_region,budget_retrains,budget_fraction,policy,mean_mae
CNA,23,0.7666666666666667,random_expected,2.249958608734735
CNA,24,0.8,action_value,2.239282657702764
CNA,24,0.8,mmd,2.2492592123817636
CNA,24,0.8,wasserstein,2.2492592123817636
CNA,24,0.8,distance,2.241835102924292
CNA,24,0.8,mean_shift,2.249169568393147
CNA,24,0.8,kl_source_target,2.241835102924292
CNA,24,0.8,oracle,2.2368830381735276
CNA,24,0.8,random_expected,2.248030854267617
CNA,25,0.8333333333333334,action_value,2.2392934183279674
CNA,25,0.8333333333333334,mmd,2.243888031211618
CNA,25,0.8333333333333334,wasserstein,2.2437766579460336
CNA,25,0.8333333333333334,distance,2.241650574891353
CNA,25,0.8333333333333334,mean_shift,2.2483283591234153
CNA,25,0.8333333333333334,kl_source_target,2.241650574891353
CNA,25,0.8333333333333334,oracle,2.236713840455225
CNA,25,0.8333333333333334,random_expected,2.246103099800499
CNA,26,0.8666666666666667,action_value,2.2387256689131534
CNA,26,0.8666666666666667,mmd,2.243118379735692
CNA,26,0.8666666666666667,wasserstein,2.2428696060516335
CNA,26,0.8666666666666667,distance,2.241082825476539
CNA,26,0.8666666666666667,mean_shift,2.2477887940370507
CNA,26,0.8666666666666667,kl_source_target,2.241082825476539
CNA,26,0.8666666666666667,oracle,2.2366101283733157
CNA,26,0.8666666666666667,random_expected,2.2441753453333813
CNA,27,0.9,action_value,2.238621956831244
CNA,27,0.9,mmd,2.24294918201739
CNA,27,0.9,wasserstein,2.2427743578292825
CNA,27,0.9,distance,2.2410935861017425
CNA,27,0.9,mean_shift,2.2429562242789536
CNA,27,0.9,kl_source_target,2.2410935861017425
CNA,27,0.9,oracle,2.2365093408926437
CNA,27,0.9,random_expected,2.2422475908662634
CNA,28,0.9333333333333333,action_value,2.238373405462531
CNA,28,0.9333333333333333,mmd,2.2420421301229903
CNA,28,0.9333333333333333,wasserstein,2.2420047063533572
CNA,28,0.9333333333333333,distance,2.2405018427872765
CNA,28,0.9333333333333333,mean_shift,2.2421678879761804
CNA,28,0.9333333333333333,kl_source_target,2.2405018427872765
CNA,28,0.9333333333333333,oracle,2.2364140926702927
CNA,28,0.9333333333333333,random_expected,2.2403198363991454
CNA,29,0.9666666666666667,action_value,2.237585069159757
CNA,29,0.9666666666666667,mmd,2.241946881900639
