source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean,run_tag,seed_index,source_in_region_mae,source_in_region_brier,abs_degradation
NCA,MED,regional_doy_climatology,328,19,2.4311934678800977,0.5238376686847013,-0.3746125649888898,-0.1077490800312853,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.3746125649888898
NCA,NEU,regional_doy_climatology,1000,28,2.6293555931139045,0.481545450377331,-0.5192482320098539,-0.1648822373791606,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.5192482320098539
NCA,NWN,regional_doy_climatology,183,36,2.9893836110865184,0.483935107180616,-0.750943234209164,-0.2412945739122963,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.750943234209164
NCA,SAU,regional_doy_climatology,351,13,2.41442848464255,0.4865166826218062,-0.3629012561634164,-0.1626864298940256,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.3629012561634164
NCA,WCE,regional_doy_climatology,1000,14,2.5017588275327647,0.4877498719302272,-0.5650990927410948,-0.1688214214773459,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.5650990927410948
NCA,WNA,regional_doy_climatology,975,17,2.660702551620715,0.5270858507108118,-0.4672218101125521,-0.0846773970476809,all_viable_min100_full_s1,1,1.856917284730233,0.4786735558604231,0.4672218101125521
NEU,CNA,regional_doy_climatology,438,14,3.700045182897616,0.8072265939082383,0.2048562766213484,0.0876830258778796,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.2048562766213484
NEU,EAS,regional_doy_climatology,110,16,7.284982027341689,0.7149389485705707,-1.5798752211896216,0.1240199773421469,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,1.5798752211896216
NEU,EAU,regional_doy_climatology,241,6,4.186634911482105,0.7570743666911269,-0.0117633072966561,0.0921680411177915,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.0117633072966561
NEU,ENA,regional_doy_climatology,522,21,4.2772266211998895,0.7174734180603849,-0.429558765592578,-0.0067350563257566,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.429558765592578
NEU,MED,regional_doy_climatology,328,19,3.28026782078972,0.807094394329069,0.4744617879207323,0.1755076456130823,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.4744617879207323
NEU,NCA,regional_doy_climatology,144,7,2.911311174393014,0.8744957212652033,1.05439388966278,0.3958221654047801,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,1.05439388966278
NEU,NWN,regional_doy_climatology,183,36,3.612492759768303,0.7079967900617407,-0.1278340855273797,-0.0172328910311717,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.1278340855273797
NEU,SAU,regional_doy_climatology,351,13,3.1393193364627927,0.7502860553833083,0.3619895956568261,0.1010829428674763,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.3619895956568261
NEU,WCE,regional_doy_climatology,1000,14,3.1021483791074576,0.6783755625194329,0.0352904588335974,0.0218042691118596,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.0352904588335974
NEU,WNA,regional_doy_climatology,975,17,3.3497910151904176,0.7321082349458865,0.2218666534571503,0.1203449871873936,all_viable_min100_full_s1,1,3.1486038251237582,0.6464276877564916,0.2218666534571503
NWN,CNA,regional_doy_climatology,438,14,3.869860701315603,0.8230849488269691,0.374671795039336,0.1035413807966105,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.374671795039336
NWN,EAS,regional_doy_climatology,110,16,7.419071715495146,0.7287116387206742,-1.4457855330361642,0.1377926674922504,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,1.4457855330361642
NWN,EAU,regional_doy_climatology,241,6,4.308627978647474,0.7764449592674678,0.1102297598687128,0.1115386336941325,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.1102297598687128
NWN,ENA,regional_doy_climatology,522,21,4.413922483930408,0.7304569970715851,-0.2928629028620604,0.0062485226854434,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.2928629028620604
NWN,MED,regional_doy_climatology,328,19,3.41038090780131,0.8216823032264929,0.6045748749323226,0.1900955545105061,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.6045748749323226
NWN,NCA,regional_doy_climatology,144,7,3.0997162912189884,0.899926492612901,1.2427990064887546,0.4212529367524779,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,1.2427990064887546
NWN,NEU,regional_doy_climatology,1000,28,3.2569843733443187,0.6634311019433135,0.1083805482205602,0.0170034141868218,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.1083805482205602
NWN,SAU,regional_doy_climatology,351,13,3.290127803086736,0.7670770483510053,0.51279806228077,0.1178739358351735,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.51279806228077
NWN,WCE,regional_doy_climatology,1000,14,3.214964669653688,0.6889946615259123,0.1481067493798281,0.0324233681183391,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.1481067493798281
