canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::28003,WCE,MED,35_10,0.1761898364563365,high,6.421573065928116e-05,0.013067418176310937,0.9868683660930297,high,retrain
eur_ecad_01::28003,NEU,MED,35_10,0.3041779757875051,high,5.323472735650014e-05,0.0,0.9999467652726434,high,retrain
eur_ecad_01::28004,WCE,MED,35_10,0.2220868850042996,high,0.004620513560126849,0.07295743966318069,0.9224220467766919,high,retrain
eur_ecad_01::28004,NEU,MED,35_10,0.3273244194866036,high,0.0018273313206668173,0.001728794716298698,0.9964438739630345,high,retrain
eur_ecad_01::27250,WCE,MED,40_-10,0.3141701685948539,high,5.198899851795002e-05,0.011623297159774684,0.9883247138417076,high,retrain
eur_ecad_01::27250,NEU,MED,40_-10,0.3871879877360711,high,0.0007248166169780632,0.0010373431441910847,0.998237840238831,high,retrain
eur_ecad_01::21802,MED,NEU,50_-5,-0.1906490000428995,safe,0.9491175941153156,0.02648286753199482,0.0243995383526892,safe,deploy
eur_ecad_01::21802,WCE,NEU,50_-5,0.0007322530507671,moderate,0.8270693601751548,0.15316845801492318,0.019762181809922175,safe,deploy
eur_ecad_01::21806,MED,NEU,50_-10,-0.0519791866694205,safe,0.9222951583290268,0.07564800740109337,0.002056834269879645,safe,deploy
eur_ecad_01::21806,WCE,NEU,50_-10,0.00107681711654,moderate,0.5939383418459367,0.4055552601318725,0.0005063980221903824,safe,deploy
eur_ecad_01::27622,WCE,MED,40_0,0.1251077378143605,moderate,0.0047787131560041145,0.23729196080211062,0.7579293260418855,high,retrain
eur_ecad_01::27622,NEU,MED,40_0,0.2550020316673231,high,6.737469391860302e-05,0.0005415591895328542,0.9993910661165485,high,retrain
eur_ecad_01::24855,MED,WCE,45_5,-0.1786321396822794,safe,0.6278327658983621,0.2743263235911106,0.09784091051052726,safe,deploy
eur_ecad_01::24855,NEU,WCE,45_5,0.0344216855041006,moderate,0.04761297428042896,0.8611623038767182,0.0912247218428524,moderate,adapt
eur_ecad_01::28078,MED,NEU,55_5,-0.114117040014781,safe,0.867821023772956,0.0348999853829706,0.09727899084407286,safe,deploy
eur_ecad_01::28078,WCE,NEU,55_5,-0.0601706435037892,safe,0.8125942359693509,0.10282854552525522,0.08457721850539426,safe,deploy
eur_ecad_01::28079,MED,NEU,55_5,-0.117647409877899,safe,0.6553500181977595,0.15461769139580878,0.1900322904064318,safe,deploy
