forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,run_tag,seed_index
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.068848648551138,-0.0419789738656342,all_viable_min100_full_s2,2
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,52920,11,0.071595030019962,-0.1616221256987007,all_viable_min100_full_s2,2
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,52920,11,0.0932158154320501,-0.9451885939295772,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0697196242703786,-0.2505381664829305,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0869894663794488,-0.8087041538820865,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,52920,12,0.0650370362832987,0.0447077636237919,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,52920,12,0.059591435864681,0.3020354580974266,all_viable_min100_full_s2,2
spatial_knn_ridge,generic_shift,group_by_cell,ridge,52920,11,0.0565470130675242,0.2039575650560916,all_viable_min100_full_s2,2
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,52920,11,0.0288125585126149,0.6596925070905575,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,52920,23,0.054461736466565,0.184525879114152,all_viable_min100_full_s2,2
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0193666300140971,0.8480303062941905,all_viable_min100_full_s2,2
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,52920,12,0.077058247857255,0.0570457835123265,all_viable_min100_full_s2,2
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0731373685334945,0.0730327951081259,all_viable_min100_full_s2,2
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,52920,11,0.086051174685415,-0.082955400808395,all_viable_min100_full_s2,2
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,52920,11,0.0784609757086213,-0.0148780216631765,all_viable_min100_full_s2,2
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0791725175325994,0.0432728961661476,all_viable_min100_full_s2,2
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0786469443502707,-0.1371745704014688,all_viable_min100_full_s2,2
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,52920,12,0.0763499910870338,0.1047739374765398,all_viable_min100_full_s2,2
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,52920,12,0.0662620033404563,0.3106073636768202,all_viable_min100_full_s2,2
stgcn_diffusion,generic_shift,group_by_cell,ridge,52920,11,0.0785175699987392,0.0020844653052876,all_viable_min100_full_s2,2
stgcn_diffusion,generic_shift,group_by_cell,random_forest,52920,11,0.065060990058332,0.1243472763892384,all_viable_min100_full_s2,2
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,52920,23,0.0754877756900899,0.1250828065622871,all_viable_min100_full_s2,2
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,52920,23,0.0495835352991512,0.4590773329890354,all_viable_min100_full_s2,2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.0947245557198124,0.0788494998506281,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0817047231208338,0.1682354115811055,all_viable_min100_full_s3,3
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.1036829169313703,-0.111535537462065,all_viable_min100_full_s3,3
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.0954416396321886,-0.135325846881404,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0958462500057666,0.0394614554269645,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0763550270248419,0.1792805360616589,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.0939737029265789,0.1310318556955653,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.0759975289559101,0.2991258838206601,all_viable_min100_full_s3,3
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.0922609031153915,0.0039137727984019,all_viable_min100_full_s3,3
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.0810409338339765,0.1305891242473695,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.0921737823719828,0.1242006333092862,all_viable_min100_full_s3,3
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.061804177248555,0.3928639422686651,all_viable_min100_full_s3,3
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1340350200293172,-0.0026715648581694,all_viable_min100_full_s3,3
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1816705906555054,-0.1095468849064158,all_viable_min100_full_s3,3
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.131672348732596,0.0002158972734703,all_viable_min100_full_s3,3
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.134788075560141,-0.002864653652528,all_viable_min100_full_s3,3
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.133002553303459,-0.0011145652509967,all_viable_min100_full_s3,3
