forecast_model,feature_set,cv_kind,estimator,n_runs,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max,r2_se,r2_ci95_halfwidth
spatial_knn_ridge,physical_knowledge,leave_target_region_out,ridge,3,0.07134922664744676,0.0010569818460128856,-0.14817005672703734,0.012529312386784178,-0.1625502350345251,-0.1396046411504876,0.007233801879270758,0.0919141677008015
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,3,0.020231347317661567,0.0009080373683924329,0.832029365008323,0.019833412461996998,0.8098394032412382,0.8480303062941905,0.011450826023882846,0.14549653986072011
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,3,0.056114260776917065,0.0016850511495269096,0.1615866094991057,0.026907225436747326,0.1319692141451652,0.184525879114152,0.015534893849052015,0.19738954180479454
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,3,0.08875841838583542,0.0022194293322925864,-0.8148938370434609,0.01251959090634497,-0.8293026533118333,-0.8066747039364626,0.00722818917992226,0.09184285159375544
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,3,0.07092115929236957,0.0011868752635436856,-0.2589210430623114,0.012481998090765311,-0.2732660921151255,-0.2505381664829305,0.007206484957727748,0.09156707330290696
stgcn_diffusion,generic_shift,group_by_cell,random_forest,3,0.06693315327683809,0.004452338912168786,0.08328092053591163,0.036931565334964875,0.0527925263490794,0.1243472763892384,0.021322449187736223,0.27092740486154665
stgcn_diffusion,generic_shift,group_by_cell,ridge,3,0.0790551398020318,0.006148530517432117,0.0015306096611395334,0.0031570519705220487,-0.0018667203928048,0.0043740840709358,0.0018227248050265434,0.023159914550840533
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,3,0.08267992388215926,0.01312914120182456,-0.16093380410096045,0.1741090925229736,-0.3536059906771256,-0.0148780216631765,0.10052193143650028,1.2772522413337621
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,3,0.08498511562454876,0.007301999294592125,-0.06247712004096004,0.022565474305244432,-0.082955400808395,-0.038285179105804,0.013028182664524457,0.16553875627908318
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,3,0.06685852462445104,0.005500010100644092,0.23942562956711413,0.06220266819420051,0.195525582207975,0.3106073636768202,0.03591272722623464,0.45631446478017645
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,3,0.07569962692344133,0.006052693495880738,0.10256418182967886,0.02680743798414351,0.0747202601516231,0.1281983478608737,0.015477281536429455,0.19665750796527295
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,3,0.0708011496447295,0.0053473688717984155,0.10489779473190426,0.02923555346742606,0.0730327951081259,0.1304834772199465,0.016879154664326133,0.2144699949428306
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,3,0.07705009781031827,0.005105625601103366,0.0669465921571218,0.009743086111015509,0.0570457835123265,0.076523898045473,0.005625173388932508,0.07147460475770602
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,3,0.050613245187729,0.004892448526627569,0.37398592976592315,0.07401882608334247,0.3244849109152047,0.4590773329890354,0.04273478916431787,0.5429969804900827
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,3,0.0757140385507681,0.006161049415080681,0.11299892153919884,0.030733682655333147,0.0780598504225439,0.1358541076327655,0.017744099954245127,0.22546016688235396
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,3,0.07502644527858236,0.005682581208174587,-0.023984184679401836,0.10182998633379767,-0.1371745704014688,0.060184519960306,0.058791570021394,0.7470177254681156
