forecast_model,observed_reference,policy,mean_cost,unsafe_deploy_rate,unnecessary_retrain_rate,deploy_rate,adapt_rate,retrain_rate,n_pairs
linear_window,observed_conservative_decision,phyk_tas_expected,4.654545454545454,0.41818181818181815,0.0,0.41818181818181815,0.11818181818181818,0.4636363636363636,110
linear_window,observed_conservative_decision,predicted_mean,4.654545454545454,0.41818181818181815,0.0,0.41818181818181815,0.11818181818181818,0.4636363636363636,110
linear_window,observed_conservative_decision,always_deploy,10.0,1.0,0.0,1.0,0.0,0.0,110
linear_window,observed_conservative_decision,always_adapt,4.0,0.0,0.0,0.0,1.0,0.0,110
linear_window,observed_conservative_decision,always_retrain,0.0,0.0,0.0,0.0,0.0,1.0,110
linear_window,observed_conservative_decision,source_accuracy_rank,3.4545454545454546,0.2727272727272727,0.0,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
linear_window,observed_conservative_decision,shift_rank,3.381818181818182,0.23636363636363636,0.0,0.23636363636363636,0.2545454545454545,0.509090909090909,110
patchtst_small,observed_conservative_decision,phyk_tas_conservative,0.21818181818181817,0.01818181818181818,0.0,0.01818181818181818,0.00909090909090909,0.9727272727272728,110
patchtst_small,observed_conservative_decision,phyk_tas_expected,4.545454545454546,0.41818181818181815,0.0,0.41818181818181815,0.09090909090909091,0.4909090909090909,110
patchtst_small,observed_conservative_decision,predicted_mean,4.545454545454546,0.41818181818181815,0.0,0.41818181818181815,0.09090909090909091,0.4909090909090909,110
patchtst_small,observed_conservative_decision,always_deploy,10.0,1.0,0.0,1.0,0.0,0.0,110
patchtst_small,observed_conservative_decision,always_adapt,4.0,0.0,0.0,0.0,1.0,0.0,110
patchtst_small,observed_conservative_decision,always_retrain,0.0,0.0,0.0,0.0,0.0,1.0,110
patchtst_small,observed_conservative_decision,source_accuracy_rank,3.4545454545454546,0.2727272727272727,0.0,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
patchtst_small,observed_conservative_decision,shift_rank,3.381818181818182,0.23636363636363636,0.0,0.23636363636363636,0.2545454545454545,0.509090909090909,110
regional_doy_climatology,observed_conservative_decision,phyk_tas_conservative,0.13636363636363635,0.01818181818181818,0.0,0.43636363636363634,0.00909090909090909,0.5545454545454546,110
regional_doy_climatology,observed_conservative_decision,phyk_tas_expected,0.38181818181818183,0.03636363636363636,0.0,0.45454545454545453,0.02727272727272727,0.5181818181818182,110
regional_doy_climatology,observed_conservative_decision,predicted_mean,0.38181818181818183,0.03636363636363636,0.0,0.45454545454545453,0.02727272727272727,0.5181818181818182,110
regional_doy_climatology,observed_conservative_decision,always_deploy,5.7272727272727275,0.5818181818181818,0.0,1.0,0.0,0.0,110
regional_doy_climatology,observed_conservative_decision,always_adapt,2.672727272727273,0.0,0.0,0.0,1.0,0.0,110
regional_doy_climatology,observed_conservative_decision,always_retrain,1.2727272727272727,0.0,0.41818181818181815,0.0,0.0,1.0,110
