canonical_station_uid,ar6_region,cell5,latitude,longitude,n_obs_train,wet_day_fraction_gt1mm,wet_day_mean_intensity,daily_precip_cv,monthly_climatology_amplitude,top3_month_precip_fraction,occurrence_lag1_autocorr,wet_intensity_lag1_autocorr,dry_spell_mean_days,dry_spell_p95_days,wet_day_p95,wet_day_p99,extreme_tail_ratio_p99_p95,source_id,source_station_id,coverage_threshold
eur_ecad_01::19398,NEU,55_10,59.94499999999999,10.863888888888887,2922,0.3127994524298426,7.770897155361051,2.205934396132923,738.6,0.3694204550135241,0.29618218074812563,0.05869037460246247,4.542986425339366,15.949999999999989,23.534999999999993,34.47900000000001,1.4650095602294466,eur_ecad_01,19398,95
eur_ecad_01::19402,NEU,65_20,69.15944444444445,20.752777777777776,2922,0.2679671457905544,4.478671775223499,2.207110849884978,325.6,0.33605746707615436,0.19910648043611506,0.18701030265275542,4.65,14.0,13.879999999999995,20.307999999999968,1.463112391930834,eur_ecad_01,19402,95
eur_ecad_01::24255,WCE,45_10,47.06027777777778,13.614166666666666,2922,0.3141683778234086,9.639978213507625,2.453879750606441,1093.6,0.40614077777286195,0.23430649233122022,0.09581552286189972,4.149068322981367,12.0,32.889999999999986,57.4920000000001,1.7480085132259082,eur_ecad_01,24255,95
eur_ecad_01::24259,WCE,45_10,47.08305555555556,14.416666666666666,2922,0.2457221081451061,9.336908077994428,2.68219693847218,1197.8,0.4805686234403764,0.25393961387168945,0.0609198783790724,5.441975308641975,17.0,30.63499999999998,46.86600000000001,1.5298188346662327,eur_ecad_01,24259,95
eur_ecad_01::24261,WCE,45_10,47.06916666666667,14.424444444444443,2922,0.2457221081451061,9.336908077994428,2.68219693847218,1197.8,0.4805686234403764,0.25393961387168945,0.0609198783790724,5.441975308641975,17.0,30.63499999999998,46.86600000000001,1.5298188346662327,eur_ecad_01,24261,95
eur_ecad_01::15941,WCE,50_10,53.50388888888889,11.080277777777775,2922,0.31724845995893225,5.501402373247033,2.149721197742347,466.79999999999995,0.33500205476893186,0.2531148909951414,0.05456189693076606,4.217758985200845,14.0,16.03999999999999,26.374,1.6442643391521208,eur_ecad_01,15941,95
eur_ecad_01::15943,WCE,50_10,52.52194444444444,11.714444444444444,2908,0.2764786795048143,5.527487562189055,2.4511723257676574,438.29999999999995,0.35712016267395313,0.20452183019306955,0.046837455151583794,4.5344827586206895,14.849999999999966,16.7,30.985000000000014,1.855389221556887,eur_ecad_01,15943,95
eur_ecad_01::23403,MED,40_35,41.25388888888889,36.56666666666667,2922,0.26386036960985626,9.3810635538262,2.78661870123554,807.1,0.4011906041711461,0.3215787409887486,0.1724781680077802,5.572538860103627,15.0,30.7,57.98999999999999,1.8889250814332244,eur_ecad_01,23403,95
eur_ecad_01::23405,MED,40_35,40.91666666666666,38.382777777777775,2890,0.34256055363321797,10.977272727272727,2.518072106195593,893.2,0.3559895127022873,0.32539135430130695,0.13814561374721565,4.166666666666667,11.0,36.3,70.67500000000004,1.9469696969696981,eur_ecad_01,23405,95
eur_ecad_01::19493,NEU,60_5,60.38944444444444,9.573055555555555,2922,0.28336755646817247,7.811352657004832,2.391776213257425,736.0000000000001,0.39274680993955674,0.3253020953516064,0.20865692177475284,5.235,19.0,22.694999999999993,41.876000000000026,1.8451641330689597,eur_ecad_01,19493,95
eur_ecad_01::19261,NEU,60_5,61.07916666666667,6.5825,2922,0.4106776180698152,7.632666666666667,1.836944428643567,824.9,0.36105854083824185,0.3449714677058599,0.15139450630639367,3.7192224622030237,11.0,21.8,32.901999999999994,1.5092660550458712,eur_ecad_01,19261,95
eur_ecad_01::15111,WCE,50_10,52.67305555555555,13.535555555555556,2922,0.29842573579739906,5.816169724770642,2.2975844593702246,715.9000000000001,0.39718781764107974,0.26490101035014907,0.11838162002053218,4.555555555555555,15.0,17.4,33.428999999999995,1.921206896551724,eur_ecad_01,15111,95
eur_ecad_01::15114,WCE,50_10,51.98555555555556,13.77527777777778,2922,0.29021218343600275,5.298113207547169,2.4175265625383826,559.2,0.3805966982133006,0.25060128425670647,0.08604541814116608,4.588495575221239,15.0,16.064999999999998,28.047999999999956,1.7459072517896022,eur_ecad_01,15114,95
