model,policy,alpha,n_deploy,unsafe_rate,safe_deploy,n_safe,n_pairs
graphwavenet_transfer,global,0.6,15,0.5333333333333333,7,20,110
graphwavenet_transfer,conflict,0.02,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.04,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.06,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.08,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.1,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.12,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.14,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.16,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.18,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.2,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.22,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.24,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.26,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.28,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.3,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.32,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.34,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.36,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.38,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.4,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.42,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.44,0,0.0,0,20,110
graphwavenet_transfer,conflict,0.46,3,0.3333333333333333,2,20,110
graphwavenet_transfer,conflict,0.48,3,0.3333333333333333,2,20,110
graphwavenet_transfer,conflict,0.5,4,0.5,2,20,110
graphwavenet_transfer,conflict,0.52,5,0.6,2,20,110
graphwavenet_transfer,conflict,0.54,8,0.375,5,20,110
graphwavenet_transfer,conflict,0.56,10,0.5,5,20,110
graphwavenet_transfer,conflict,0.58,11,0.5454545454545454,5,20,110
graphwavenet_transfer,conflict,0.6,15,0.4666666666666667,8,20,110
graphwavenet_transfer,distance,0.02,0,0.0,0,20,110
graphwavenet_transfer,distance,0.04,0,0.0,0,20,110
graphwavenet_transfer,distance,0.06,0,0.0,0,20,110
graphwavenet_transfer,distance,0.08,0,0.0,0,20,110
graphwavenet_transfer,distance,0.1,0,0.0,0,20,110
graphwavenet_transfer,distance,0.12,0,0.0,0,20,110
graphwavenet_transfer,distance,0.14,0,0.0,0,20,110
graphwavenet_transfer,distance,0.16,0,0.0,0,20,110
graphwavenet_transfer,distance,0.18,0,0.0,0,20,110
graphwavenet_transfer,distance,0.2,0,0.0,0,20,110
graphwavenet_transfer,distance,0.22,0,0.0,0,20,110
graphwavenet_transfer,distance,0.24,0,0.0,0,20,110
graphwavenet_transfer,distance,0.26,0,0.0,0,20,110
graphwavenet_transfer,distance,0.28,0,0.0,0,20,110
graphwavenet_transfer,distance,0.3,0,0.0,0,20,110
graphwavenet_transfer,distance,0.32,0,0.0,0,20,110
graphwavenet_transfer,distance,0.34,0,0.0,0,20,110
graphwavenet_transfer,distance,0.36,0,0.0,0,20,110
graphwavenet_transfer,distance,0.38,2,1.0,0,20,110
graphwavenet_transfer,distance,0.4,2,1.0,0,20,110
graphwavenet_transfer,distance,0.42,2,1.0,0,20,110
graphwavenet_transfer,distance,0.44,5,0.6,2,20,110
graphwavenet_transfer,distance,0.46,5,0.6,2,20,110
graphwavenet_transfer,distance,0.48,7,0.5714285714285714,3,20,110
graphwavenet_transfer,distance,0.5,8,0.625,3,20,110
graphwavenet_transfer,distance,0.52,9,0.6666666666666666,3,20,110
graphwavenet_transfer,distance,0.54,12,0.75,3,20,110
graphwavenet_transfer,distance,0.56,12,0.75,3,20,110
graphwavenet_transfer,distance,0.58,12,0.75,3,20,110
graphwavenet_transfer,distance,0.6,14,0.7857142857142857,3,20,110
graphwavenet_transfer,reject,0.02,0,0.0,0,20,110
graphwavenet_transfer,reject,0.04,0,0.0,0,20,110
graphwavenet_transfer,reject,0.06,0,0.0,0,20,110
graphwavenet_transfer,reject,0.08,0,0.0,0,20,110
graphwavenet_transfer,reject,0.1,0,0.0,0,20,110
graphwavenet_transfer,reject,0.12,0,0.0,0,20,110
graphwavenet_transfer,reject,0.14,0,0.0,0,20,110
graphwavenet_transfer,reject,0.16,0,0.0,0,20,110
graphwavenet_transfer,reject,0.18,0,0.0,0,20,110
graphwavenet_transfer,reject,0.2,0,0.0,0,20,110
graphwavenet_transfer,reject,0.22,0,0.0,0,20,110
graphwavenet_transfer,reject,0.24,0,0.0,0,20,110
graphwavenet_transfer,reject,0.26,0,0.0,0,20,110
graphwavenet_transfer,reject,0.28,0,0.0,0,20,110
graphwavenet_transfer,reject,0.3,0,0.0,0,20,110
graphwavenet_transfer,reject,0.32,0,0.0,0,20,110
graphwavenet_transfer,reject,0.34,0,0.0,0,20,110
graphwavenet_transfer,reject,0.36,1,1.0,0,20,110
graphwavenet_transfer,reject,0.38,1,1.0,0,20,110
graphwavenet_transfer,reject,0.4,1,1.0,0,20,110
graphwavenet_transfer,reject,0.42,1,1.0,0,20,110
graphwavenet_transfer,reject,0.44,1,1.0,0,20,110
graphwavenet_transfer,reject,0.46,1,1.0,0,20,110
graphwavenet_transfer,reject,0.48,1,1.0,0,20,110
graphwavenet_transfer,reject,0.5,1,1.0,0,20,110
graphwavenet_transfer,reject,0.52,2,1.0,0,20,110
graphwavenet_transfer,reject,0.54,3,1.0,0,20,110
graphwavenet_transfer,reject,0.56,6,0.8333333333333334,1,20,110
graphwavenet_transfer,reject,0.58,8,0.75,2,20,110
graphwavenet_transfer,reject,0.6,11,0.6363636363636364,4,20,110
