model,source_region,target_region,n_runs,degradation_mean,degradation_sd,degradation_min,degradation_max,mae_mean,brier_mean,degradation_se,degradation_ci95_halfwidth
graphwavenet_transfer,NEU,CNA,3,0.21996814372928541,0.00620277010390264,0.2146734367109186,0.2267926871017754,2.198253061850933,0.1921344860592725,0.0035811709892095522,0.045503091785067624
graphwavenet_transfer,NEU,EAS,3,0.008170461345048166,0.04188123558404781,-0.0379036932950167,0.0439322036783159,6.164880092766435,0.2281890633918083,0.02418014263844414,0.30723784292020256
graphwavenet_transfer,NEU,EAU,3,0.026773769756346166,0.005925429576239019,0.0200018137193805,0.0310060185577474,2.8188655925533808,0.21778576533610036,0.003421048360905768,0.043468540886904126
graphwavenet_transfer,NEU,ENA,3,0.2875944364162607,0.0058465987105501115,0.2809256521638979,0.2918388856443785,3.2128730197756195,0.28751417997764156,0.003375535339379826,0.042890243117221866
graphwavenet_transfer,NEU,MED,3,0.009264146215447766,0.0037015844461860043,0.006704507404213,0.013508407268199,1.7180748618209283,0.17296900367013332,0.0021371107764336216,0.027154567069800954
graphwavenet_transfer,NEU,NCA,3,0.024606212594321164,0.00389212771298517,0.0217942447033628,0.029048359507981,1.0428384585076997,0.10126351252583704,0.0022471209828123905,0.02855237927514674
graphwavenet_transfer,NEU,NEU,3,0.0,0.0,0.0,0.0,2.215370025460023,0.29108908929140553,0.0,0.0
graphwavenet_transfer,NEU,NWN,3,0.10872089815255297,0.024040942326509374,0.0864619083641653,0.1342159747664994,2.40714615809086,0.21837418607290715,0.013880044523782456,0.17636268746997302
graphwavenet_transfer,NEU,SAU,3,0.014847995024364201,0.004338280469325162,0.0116197010872814,0.0197794098630623,1.8908186327113217,0.22442067487370268,0.0025047073967849783,0.0318253249884058
graphwavenet_transfer,NEU,WCE,3,0.0009600791287558667,0.0037748967977207486,-0.0032638196802363,0.0040041524370267,2.1311024121897266,0.28975684989537237,0.0021794376823271308,0.027692381401943578
graphwavenet_transfer,NEU,WNA,3,0.05120318050336914,0.011232311815077691,0.0406338887838338,0.062998001715741,1.9824887743762398,0.21580219550034588,0.006484978250056919,0.08239946135653235
graphwavenet_transfer,NWN,CNA,3,0.2230941148252126,0.01643688797486135,0.2063397911740168,0.2391940200455749,2.20137903294686,0.1817957483979924,0.009489841696925922,0.12057987151747095
graphwavenet_transfer,NWN,EAS,3,0.0691770368993278,0.04590842070907389,0.0171311298441254,0.1039178319661088,6.225886668320715,0.2290527143743938,0.026505239054454403,0.3367809940139735
graphwavenet_transfer,NWN,EAU,3,0.07069447541716863,0.020286495534034107,0.0513430258984605,0.0918018646308379,2.8627862982142034,0.21714909262171125,0.011712413657488733,0.1488203258898353
graphwavenet_transfer,NWN,ENA,3,0.2655352853098188,0.01226945556352551,0.2517366986950237,0.2752164476653249,3.190813868669178,0.26681612789631387,0.007083773472411604,0.09000787604696836
graphwavenet_transfer,NWN,MED,3,0.033421359096103435,0.011894557602180476,0.0241307555278532,0.0468270270001348,1.7422320747015843,0.17311841346578058,0.006867326033510408,0.08725765057361339
graphwavenet_transfer,NWN,NCA,3,0.0197699155215381,0.006651401307242193,0.014333307187162,0.0271864753984473,1.0380021614349169,0.09900434645965263,0.003840188335224509,0.04879421921382094
graphwavenet_transfer,NWN,NEU,3,0.04658280562202197,0.022159099425966538,0.0335266819815103,0.072168121021496,2.261952831082045,0.2944580480549623,0.012793562018581462,0.16255761831633753
graphwavenet_transfer,NWN,NWN,3,0.0,0.0,0.0,0.0,2.298425259938307,0.21278548683504928,0.0,0.0
graphwavenet_transfer,NWN,SAU,3,0.043719222538850404,0.013451785355289585,0.0334270082242773,0.0589402129521333,1.919689860225808,0.22167954936053033,0.007766391895957508,0.09868136549340313
graphwavenet_transfer,NWN,WCE,3,0.054477822447473866,0.02180414209372229,0.0418291523050618,0.0796549814494488,2.184620155508445,0.29284926724505084,0.012588627307259414,0.15995367591667797
graphwavenet_transfer,NWN,WNA,3,0.013710943148994932,0.006057414218183982,0.0094403728023615,0.0206435128350854,1.9449965370218658,0.2145576319715098,0.003497249729461589,0.0444367710769707
