source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
NWN,NWN,patchtst_small,183,36,2.3914729583832433,0.22538920801042106,0.0,0.0
NWN,SAU,linear_window,351,13,1.852858335117921,0.23055310855259334,-0.05840582676858346,0.0034215882771105096
NWN,SAU,patchtst_small,351,13,1.8591687482670898,0.2312497676392412,-0.05555469439796934,0.004329297480239523
NWN,WCE,linear_window,1000,17,2.1525011085945995,0.30092672089761496,-0.039741985775400106,0.004827531203521739
NWN,WCE,patchtst_small,1000,17,2.1551575178773277,0.3003046426783747,-0.0383269660189813,0.004910001593755633
NWN,WNA,linear_window,975,17,2.0012330718681075,0.22557418904001994,-0.015193134714643732,0.0019335369089392331
NWN,WNA,patchtst_small,975,17,2.0104186029104505,0.2260744118482496,-0.006138362923488032,0.0016982689482443677
SAU,CNA,linear_window,438,14,2.18141031840724,0.1917727609391603,0.024078533005141636,0.0070256321330705454
SAU,CNA,patchtst_small,438,14,2.1727263526954808,0.19072029812176347,0.01785176610651885,0.0059731693156737
SAU,EAS,linear_window,110,16,6.483034190833584,0.23906331871871903,0.5108474394005401,-0.0008961591584276068
SAU,EAS,patchtst_small,110,16,6.540813048053521,0.2391186472231795,0.5234354756516152,-0.002552524152692876
SAU,EAU,linear_window,241,6,2.713759155186829,0.227111501656014,-0.09364019729354406,-0.00462995651073602
SAU,EAU,patchtst_small,241,6,2.728284246746614,0.22557634938125776,-0.08880869479660276,-0.005916828213150309
SAU,ENA,linear_window,522,21,3.033532402975301,0.2880362906343208,-0.14620139061689347,0.004795145358177219
SAU,ENA,patchtst_small,522,21,3.0141309916081718,0.28568752082989796,-0.16415166832956551,0.0024463755537544483
SAU,MED,linear_window,328,19,1.7170427205610006,0.1796508960676031,-0.006358612540849513,0.004589314608232727
SAU,MED,patchtst_small,328,19,1.7180450831866163,0.17726866152693863,-0.004521425737004681,0.00273800738809419
SAU,NCA,linear_window,144,7,1.0117678240745214,0.10230679521284947,0.0025482437806339828,-0.0041806279684171955
SAU,NCA,patchtst_small,144,7,1.0088655526117831,0.10265030263118882,-0.0012650703237377812,-0.003837120550077842
SAU,NEU,linear_window,1000,28,2.25207474608595,0.30632389095858,0.002740840244419948,0.005189513860093838
SAU,NEU,patchtst_small,1000,28,2.2687915653602833,0.31109353749937935,0.018534046102023697,0.010677185633339612
SAU,NWN,linear_window,183,36,2.420729535687342,0.23907002755672863,0.034661099565930935,0.013951039662423047
SAU,NWN,patchtst_small,183,36,2.5232594274721567,0.2442046713844963,0.13178646908891323,0.018815463374075258
SAU,SAU,linear_window,351,13,1.9112641618865045,0.22713152027548283,0.0,0.0
SAU,SAU,patchtst_small,351,13,1.914723442665059,0.2269204701590017,0.0,0.0
SAU,WCE,linear_window,1000,17,2.170489706898301,0.29860279571627335,-0.021753387471698592,0.002503606022180145
SAU,WCE,patchtst_small,1000,17,2.1739435773912836,0.3003660943026313,-0.019540906505025324,0.004971453218012224
SAU,WNA,linear_window,975,17,1.9515133820200237,0.224609982149434,-0.06491282456272765,0.0009693300183532937
SAU,WNA,patchtst_small,975,17,1.9780308207545623,0.2266229307860785,-0.03852614507937628,0.002246787886073299
WCE,CNA,linear_window,438,14,2.1163587750300823,0.21028424879253566,-0.04097301037201645,0.025537119986445894
WCE,CNA,patchtst_small,438,14,2.103203917212706,0.20753947710053408,-0.05167066937625589,0.022792348294444334
WCE,EAS,linear_window,110,16,6.17420262965325,0.2349152653808231,0.20201587822020659,-0.0050442124963235545
WCE,EAS,patchtst_small,110,16,6.197130625556234,0.23469090177566648,0.1797530531543284,-0.0069802696002058875
WCE,EAU,linear_window,241,6,2.7755581226733836,0.23107269695394297,-0.031841229806989516,-0.0006687612128070355
WCE,EAU,patchtst_small,241,6,2.777450351657966,0.2329656658630593,-0.03964258988525103,0.0014724882686512131
WCE,ENA,linear_window,522,21,3.3560201035384125,0.3168325252465807,0.17628630994621808,0.03359137997043716
WCE,ENA,patchtst_small,522,21,3.344016590087016,0.3156491277868948,0.16573393014927845,0.032407982510751256
WCE,MED,linear_window,328,19,1.7411314106517917,0.18306728610269743,0.017730077549941554,0.008005704643327052
WCE,MED,patchtst_small,328,19,1.738203404848501,0.18102721969089533,0.0156368959248801,0.0064965655520509025
WCE,NCA,linear_window,144,7,1.0977152393494614,0.11616070679079694,0.08849565905557412,0.009673283609530285
WCE,NCA,patchtst_small,144,7,1.0918993390013996,0.1131073260820142,0.08176871606587853,0.006619902900747533
WCE,NEU,linear_window,1000,28,2.2648745610763914,0.3050938572507964,0.015540655234861643,0.003959480152310332
WCE,NEU,patchtst_small,1000,28,2.263846627178038,0.3010593807692191,0.0135891079197787,0.0006430289031793579
WCE,NWN,linear_window,183,36,2.4782208435804267,0.2390740469487442,0.0921524074590154,0.013955059054438664
WCE,NWN,patchtst_small,183,36,2.4910348369021427,0.23400596607983545,0.09956187851889943,0.008616758069414405
WCE,SAU,linear_window,351,13,1.9570344686159737,0.24466965136177832,0.04577030672946922,0.017538131086295504
WCE,SAU,patchtst_small,351,13,1.9574394046941246,0.24214191377581126,0.04271596202906573,0.015221443616809549
WCE,WCE,linear_window,1000,17,2.1922430943699998,0.29609918969409327,0.0,0.0
WCE,WCE,patchtst_small,1000,17,2.193484483896309,0.2953946410846191,0.0,0.0
WCE,WNA,linear_window,975,17,2.018158111764921,0.2310740557619786,0.0017319051821694665,0.0074334036308978954
WCE,WNA,patchtst_small,975,17,2.021510504249647,0.23076183908285386,0.0049535384157082165,0.006385696182848617
WNA,CNA,linear_window,438,14,2.223427739448566,0.20218305645594403,0.06609595404646737,0.017435927649854258
WNA,CNA,patchtst_small,438,14,2.216112864390948,0.19869350277059353,0.061238277801986325,0.01394637396450376
WNA,EAS,linear_window,110,16,6.17158542434681,0.25169164241180153,0.19939867291376598,0.011732164534654902
WNA,EAS,patchtst_small,110,16,6.0752241483161065,0.2508060103598113,0.057846575914200386,0.009134838983938916
WNA,EAU,linear_window,241,6,2.804788614464357,0.22826450892854033,-0.0026107380160163957,-0.0034769492382096786
WNA,EAU,patchtst_small,241,6,2.81115636063957,0.2283584295969821,-0.005936580903646181,-0.0031347479974259923
WNA,ENA,linear_window,522,21,3.308411501967111,0.3040884873724026,0.12867770837491663,0.020847342096259065
WNA,ENA,patchtst_small,522,21,3.3027242374520926,0.30074957468124836,0.12444157751435495,0.017508429405104785
WNA,MED,linear_window,328,19,1.6854890759163936,0.17616600792544737,-0.03791225718545659,0.0011044264660769953
WNA,MED,patchtst_small,328,19,1.688970538102383,0.17527023999581115,-0.033595970821237955,0.0007395858569667183
WNA,NCA,linear_window,144,7,1.1245703672037455,0.11423850770093141,0.115350786909858,0.007751084519664745
WNA,NCA,patchtst_small,144,7,1.1229564204455287,0.11433554677680292,0.11282579751000774,0.007848123595536244
WNA,NEU,linear_window,1000,28,2.271022247935256,0.3043876917972698,0.021688342093726144,0.003253314698783733
WNA,NEU,patchtst_small,1000,28,2.287814731408571,0.30625287432941956,0.03755721215031153,0.0058365224633798105
WNA,NWN,linear_window,183,36,2.3811050109413214,0.23469607656485453,-0.004963425180090216,0.009577088670548975
WNA,NWN,patchtst_small,183,36,2.392609063495094,0.2331832586849518,0.0011361051118507508,0.007794050674530754
WNA,SAU,linear_window,351,13,1.8801588323792975,0.22451200135034888,-0.031105329507207104,-0.002619518925133945
WNA,SAU,patchtst_small,351,13,1.880809170265406,0.22391238158058394,-0.03391427239965296,-0.0030080885784177893
WNA,WCE,linear_window,1000,17,2.1796833979498187,0.30095281562468634,-0.012559696420180743,0.004853625930593155
WNA,WCE,patchtst_small,1000,17,2.1906207902440764,0.3007734394016919,-0.0028636936522327466,0.005378798317072773
WNA,WNA,linear_window,975,17,2.0164262065827514,0.22364065213108072,0.0,0.0
WNA,WNA,patchtst_small,975,17,2.0165569658339386,0.2243761429000052,0.0,0.0
